origin,destination,price_usd,bucket,color
MXP,OGL,,No Data,#CCCCCC
MXP,JIU,,No Data,#CCCCCC
MXP,BAV,564.15,400-800,#FFFF00
MXP,INV,215.58,200-400,#008000
MXP,IGA,,No Data,#CCCCCC
MXP,HHH,,No Data,#CCCCCC
MXP,BQE,,No Data,#CCCCCC
MXP,ZPH,,No Data,#CCCCCC
MXP,0,,No Data,#CCCCCC
MXP,ADB,127.64,100-200,#00FF00
MXP,UIP,,No Data,#CCCCCC
MXP,SVP,,No Data,#CCCCCC
MXP,OMO,,No Data,#CCCCCC
MXP,EGA,,No Data,#CCCCCC
MXP,BJV,258.19,200-400,#008000
MXP,LEY,,No Data,#CCCCCC
MXP,UIH,627.24,400-800,#FFFF00
MXP,TNC,,No Data,#CCCCCC
MXP,QOW,722.96,400-800,#FFFF00
MXP,NTX,,No Data,#CCCCCC
MXP,ASD,,No Data,#CCCCCC
MXP,OSK,,No Data,#CCCCCC
MXP,FBU,,No Data,#CCCCCC
MXP,YEK,,No Data,#CCCCCC
MXP,USL,,No Data,#CCCCCC
MXP,OBN,,No Data,#CCCCCC
MXP,WKM,,No Data,#CCCCCC
MXP,EOI,,No Data,#CCCCCC
MXP,YJN,,No Data,#CCCCCC
MXP,XAI,,No Data,#CCCCCC
MXP,DAX,623.04,400-800,#FFFF00
MXP,KJA,,No Data,#CCCCCC
MXP,VPN,,No Data,#CCCCCC
MXP,XES,,No Data,#CCCCCC
MXP,AXT,707.71,400-800,#FFFF00
MXP,KTR,,No Data,#CCCCCC
MXP,UPG,573.46,400-800,#FFFF00
MXP,YNB,622.84,400-800,#FFFF00
MXP,GBD,,No Data,#CCCCCC
MXP,CCK,,No Data,#CCCCCC
MXP,SKY,,No Data,#CCCCCC
MXP,UVF,,No Data,#CCCCCC
MXP,RVV,,No Data,#CCCCCC
MXP,GVR,,No Data,#CCCCCC
MXP,KLG,,No Data,#CCCCCC
MXP,OKT,,No Data,#CCCCCC
MXP,EMK,,No Data,#CCCCCC
MXP,GUL,,No Data,#CCCCCC
MXP,HUK,,No Data,#CCCCCC
MXP,YQQ,507.02,400-800,#FFFF00
MXP,DBQ,,No Data,#CCCCCC
MXP,TIZ,,No Data,#CCCCCC
MXP,EGX,,No Data,#CCCCCC
MXP,BRO,1576.57,>1000,#FF0000
MXP,SFD,,No Data,#CCCCCC
MXP,TAB,4876.78,>1000,#FF0000
MXP,JRG,,No Data,#CCCCCC
MXP,NGB,494.94,400-800,#FFFF00
MXP,VLD,,No Data,#CCCCCC
MXP,RRG,,No Data,#CCCCCC
MXP,SKV,,No Data,#CCCCCC
MXP,ZCL,,No Data,#CCCCCC
MXP,HJJ,,No Data,#CCCCCC
MXP,BBI,626.77,400-800,#FFFF00
MXP,KHS,,No Data,#CCCCCC
MXP,RJN,,No Data,#CCCCCC
MXP,XMY,,No Data,#CCCCCC
MXP,WSY,,No Data,#CCCCCC
MXP,YBO,,No Data,#CCCCCC
MXP,TGR,199.2,100-200,#00FF00
MXP,KPC,,No Data,#CCCCCC
MXP,BME,983.99,800-1000,#FFA500
MXP,GUM,1056.85,>1000,#FF0000
MXP,BHK,702.25,400-800,#FFFF00
MXP,YRR,,No Data,#CCCCCC
MXP,PTK,,No Data,#CCCCCC
MXP,HET,555.15,400-800,#FFFF00
MXP,PFN,,No Data,#CCCCCC
MXP,CHT,,No Data,#CCCCCC
MXP,PHE,1037.44,>1000,#FF0000
MXP,GLS,,No Data,#CCCCCC
MXP,HBA,1066.21,>1000,#FF0000
MXP,BRR,1218.78,>1000,#FF0000
MXP,MKQ,,No Data,#CCCCCC
MXP,ROA,1423.57,>1000,#FF0000
MXP,MYI,,No Data,#CCCCCC
MXP,SIC,,No Data,#CCCCCC
MXP,LBJ,780.3,400-800,#FFFF00
MXP,USK,,No Data,#CCCCCC
MXP,HUH,2758.07,>1000,#FF0000
MXP,PED,,No Data,#CCCCCC
MXP,MRK,,No Data,#CCCCCC
MXP,AGZ,,No Data,#CCCCCC
MXP,LSS,,No Data,#CCCCCC
MXP,GZA,,No Data,#CCCCCC
MXP,SIT,955.2,800-1000,#FFA500
MXP,AGY,,No Data,#CCCCCC
MXP,108,,No Data,#CCCCCC
MXP,HYL,,No Data,#CCCCCC
MXP,NQY,,No Data,#CCCCCC
MXP,LDN,,No Data,#CCCCCC
MXP,CGO,508.15,400-800,#FFFF00
MXP,DSS,178.5,100-200,#00FF00
MXP,YRI,,No Data,#CCCCCC
MXP,UNK,,No Data,#CCCCCC
MXP,PDV,,No Data,#CCCCCC
MXP,KVR,,No Data,#CCCCCC
MXP,FUN,,No Data,#CCCCCC
MXP,UTH,552.14,400-800,#FFFF00
MXP,MPN,,No Data,#CCCCCC
MXP,KXF,,No Data,#CCCCCC
MXP,BIG,,No Data,#CCCCCC
MXP,OKF,,No Data,#CCCCCC
MXP,WMO,,No Data,#CCCCCC
MXP,HBX,644.97,400-800,#FFFF00
MXP,MXS,,No Data,#CCCCCC
MXP,MDR,,No Data,#CCCCCC
MXP,SCX,,No Data,#CCCCCC
MXP,MFM,525.21,400-800,#FFFF00
MXP,GRP,,No Data,#CCCCCC
MXP,WAE,596.84,400-800,#FFFF00
MXP,TCB,,No Data,#CCCCCC
MXP,IOM,1170.37,>1000,#FF0000
MXP,KQT,,No Data,#CCCCCC
MXP,WUB,,No Data,#CCCCCC
MXP,HFA,,No Data,#CCCCCC
MXP,WRY,,No Data,#CCCCCC
MXP,CKH,,No Data,#CCCCCC
MXP,KIH,631.96,400-800,#FFFF00
MXP,TNO,,No Data,#CCCCCC
MXP,RHI,,No Data,#CCCCCC
MXP,AIU,,No Data,#CCCCCC
MXP,NNT,,No Data,#CCCCCC
MXP,RAM,,No Data,#CCCCCC
MXP,ONS,1850.15,>1000,#FF0000
MXP,NON,,No Data,#CCCCCC
MXP,EFD,,No Data,#CCCCCC
MXP,RIZ,,No Data,#CCCCCC
MXP,BPG,,No Data,#CCCCCC
MXP,WHD,,No Data,#CCCCCC
MXP,LRT,,No Data,#CCCCCC
MXP,TNA,508.15,400-800,#FFFF00
MXP,NTL,1065.44,>1000,#FF0000
MXP,TRG,1574.33,>1000,#FF0000
MXP,CPH,108.69,100-200,#00FF00
MXP,MEI,,No Data,#CCCCCC
MXP,COQ,,No Data,#CCCCCC
MXP,ELI,,No Data,#CCCCCC
MXP,VIN,,No Data,#CCCCCC
MXP,VTU,,No Data,#CCCCCC
MXP,YQL,,No Data,#CCCCCC
MXP,XGR,,No Data,#CCCCCC
MXP,WBM,,No Data,#CCCCCC
MXP,NAG,573.57,400-800,#FFFF00
MXP,CMV,,No Data,#CCCCCC
MXP,HOT,,No Data,#CCCCCC
MXP,CCU,369.33,200-400,#008000
MXP,MFE,886.08,800-1000,#FFA500
MXP,PBC,1634.06,>1000,#FF0000
MXP,SMN,,No Data,#CCCCCC
MXP,YTS,933.27,800-1000,#FFA500
MXP,LUZ,,No Data,#CCCCCC
MXP,ATY,1458.57,>1000,#FF0000
MXP,JOK,,No Data,#CCCCCC
MXP,LVA,,No Data,#CCCCCC
MXP,MZJ,,No Data,#CCCCCC
MXP,BNA,463.12,400-800,#FFFF00
MXP,SKG,126.24,100-200,#00FF00
MXP,TKX,,No Data,#CCCCCC
MXP,VRY,,No Data,#CCCCCC
MXP,MCP,755.13,400-800,#FFFF00
MXP,GBB,,No Data,#CCCCCC
MXP,MMJ,,No Data,#CCCCCC
MXP,SOD,,No Data,#CCCCCC
MXP,CHG,,No Data,#CCCCCC
